"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ICICIBANK","EQ","24-Jun-2026","1,338.30","1,340.60","1,377.60","1,340.60","1,373.00","1,373.60","1,369.98","1,64,40,708","22,52,33,78,860.90","2,84,060","1,09,67,448","66.71"
"ICICIBANK","EQ","23-Jun-2026","1,352.40","1,358.00","1,369.10","1,331.50","1,335.50","1,338.30","1,352.91","1,18,84,879","16,07,91,39,867.90","1,66,170","64,20,307","54.02"
"ICICIBANK","EQ","22-Jun-2026","1,346.50","1,353.00","1,362.70","1,348.40","1,351.00","1,352.40","1,355.63","48,14,845","6,52,71,49,141.90","1,11,040","27,14,882","56.39"
"ICICIBANK","EQ","19-Jun-2026","1,342.30","1,340.50","1,352.30","1,332.00","1,347.80","1,346.50","1,346.35","90,57,322","12,19,43,67,731.90","1,41,850","58,76,183","64.88"
"ICICIBANK","EQ","18-Jun-2026","1,336.80","1,333.60","1,346.90","1,331.40","1,341.50","1,342.30","1,340.81","1,34,67,985","18,05,80,46,131.10","1,66,446","60,36,352","44.82"
"ICICIBANK","EQ","17-Jun-2026","1,334.30","1,342.00","1,346.00","1,333.40","1,336.50","1,336.80","1,338.65","80,26,424","10,74,45,44,350.00","1,54,630","47,04,112","58.61"
"ICICIBANK","EQ","16-Jun-2026","1,327.60","1,331.90","1,337.30","1,326.30","1,335.50","1,334.30","1,331.53","1,30,69,159","17,40,19,91,209.80","2,09,525","55,09,490","42.16"
"ICICIBANK","EQ","15-Jun-2026","1,340.80","1,354.60","1,362.70","1,325.30","1,328.00","1,327.60","1,339.75","1,61,72,921","21,66,76,94,953.80","2,31,944","1,10,52,408","68.34"
"ICICIBANK","EQ","12-Jun-2026","1,317.00","1,330.00","1,344.30","1,318.70","1,340.00","1,340.80","1,333.00","1,83,39,846","24,44,70,33,214.60","2,37,916","1,40,26,255","76.48"
"ICICIBANK","EQ","11-Jun-2026","1,293.30","1,286.50","1,333.00","1,286.50","1,313.90","1,317.00","1,316.68","3,59,19,374","47,29,44,30,919.80","4,62,944","2,40,33,028","66.91"
"ICICIBANK","EQ","10-Jun-2026","1,275.00","1,271.30","1,306.00","1,271.30","1,293.00","1,293.30","1,294.82","2,59,51,584","33,60,27,25,418.60","3,17,951","1,70,41,675","65.67"
"ICICIBANK","EQ","09-Jun-2026","1,250.20","1,255.00","1,279.90","1,252.70","1,276.00","1,275.00","1,271.49","2,23,68,579","28,44,14,91,850.70","2,95,130","1,20,42,919","53.84"
"ICICIBANK","EQ","08-Jun-2026","1,262.10","1,246.40","1,254.00","1,243.10","1,250.00","1,250.20","1,249.97","1,07,14,196","13,39,24,35,061.70","1,65,598","61,48,727","57.39"
"ICICIBANK","EQ","05-Jun-2026","1,251.70","1,257.00","1,265.00","1,250.00","1,261.00","1,262.10","1,258.93","1,01,66,393","12,79,87,54,410.30","2,32,444","60,97,001","59.97"
"ICICIBANK","EQ","04-Jun-2026","1,242.00","1,232.20","1,262.30","1,232.20","1,253.00","1,251.70","1,251.91","1,94,61,560","24,36,41,21,089.30","2,72,388","94,60,712","48.61"
"ICICIBANK","EQ","03-Jun-2026","1,226.60","1,219.90","1,248.30","1,213.70","1,243.40","1,242.00","1,231.50","1,39,34,754","17,16,05,89,675.90","3,73,364","67,10,297","48.16"
"ICICIBANK","EQ","02-Jun-2026","1,239.70","1,233.00","1,237.70","1,220.70","1,230.70","1,226.60","1,229.00","1,79,20,892","22,02,48,48,172.50","2,51,540","60,15,568","33.57"
"ICICIBANK","EQ","01-Jun-2026","1,256.40","1,257.10","1,261.90","1,235.90","1,238.60","1,239.70","1,245.36","99,11,975","12,34,39,58,316.50","1,79,104","46,68,973","47.10"
"ICICIBANK","EQ","29-May-2026","1,272.70","1,275.10","1,287.80","1,247.90","1,260.50","1,256.40","1,263.53","3,10,07,884","39,17,94,79,642.80","3,92,957","2,18,43,321","70.44"
"ICICIBANK","EQ","27-May-2026","1,279.10","1,286.00","1,293.40","1,266.70","1,272.50","1,272.70","1,277.96","1,83,66,272","23,47,13,39,315.50","1,99,046","76,01,863","41.39"
"ICICIBANK","EQ","26-May-2026","1,291.80","1,290.00","1,301.80","1,276.20","1,280.70","1,279.10","1,287.57","1,84,00,405","23,69,17,57,179.00","2,33,183","80,32,540","43.65"
"ICICIBANK","EQ","25-May-2026","1,264.30","1,271.00","1,293.50","1,270.90","1,293.50","1,291.80","1,282.46","1,38,53,923","17,76,70,46,157.90","2,30,176","97,00,400","70.02"
"ICICIBANK","EQ","22-May-2026","1,242.80","1,242.00","1,270.80","1,242.00","1,267.20","1,264.30","1,264.35","1,16,01,085","14,66,78,24,476.70","1,63,057","80,81,560","69.66"
"ICICIBANK","EQ","21-May-2026","1,237.30","1,245.30","1,248.30","1,234.40","1,244.40","1,242.80","1,242.50","1,43,94,386","17,88,49,96,507.30","1,79,763","64,72,295","44.96"
"ICICIBANK","EQ","20-May-2026","1,240.80","1,230.00","1,239.70","1,223.30","1,236.50","1,237.30","1,232.55","1,49,53,103","18,43,03,75,623.00","1,96,646","1,03,26,267","69.06"
"ICICIBANK","EQ","19-May-2026","1,251.10","1,251.10","1,256.30","1,229.80","1,242.50","1,240.80","1,236.56","3,89,29,053","48,13,82,72,774.70","2,83,791","2,61,99,158","67.30"
"ICICIBANK","EQ","18-May-2026","1,244.50","1,235.50","1,253.70","1,232.00","1,251.70","1,251.10","1,243.71","1,39,18,850","17,31,10,46,029.30","2,42,335","90,92,626","65.33"
"ICICIBANK","EQ","15-May-2026","1,246.00","1,246.60","1,258.00","1,242.00","1,247.90","1,244.50","1,247.98","1,17,45,614","14,65,82,50,228.70","2,21,105","77,03,623","65.59"
"ICICIBANK","EQ","14-May-2026","1,235.60","1,239.10","1,256.70","1,236.00","1,248.70","1,246.00","1,248.25","1,65,35,600","20,64,04,95,752.30","3,56,567","76,36,964","46.18"
"ICICIBANK","EQ","13-May-2026","1,240.30","1,238.30","1,249.20","1,227.20","1,236.10","1,235.60","1,238.85","1,94,90,295","24,14,55,79,380.30","2,86,906","1,29,49,692","66.44"
"ICICIBANK","EQ","12-May-2026","1,266.40","1,256.00","1,259.90","1,236.30","1,244.50","1,240.30","1,244.35","2,11,10,708","26,26,90,40,947.30","3,80,833","89,70,204","42.49"
"ICICIBANK","EQ","11-May-2026","1,264.80","1,259.40","1,275.70","1,252.00","1,267.20","1,266.40","1,267.94","1,89,80,488","24,06,61,15,479.60","5,37,303","1,25,90,590","66.33"
"ICICIBANK","EQ","08-May-2026","1,279.00","1,279.60","1,279.60","1,261.20","1,267.80","1,264.80","1,266.00","1,11,37,424","14,09,99,55,630.00","1,85,392","75,74,037","68.01"
"ICICIBANK","EQ","07-May-2026","1,279.50","1,284.70","1,294.00","1,273.20","1,279.00","1,279.00","1,282.68","2,50,28,552","32,10,37,38,356.80","3,22,972","87,64,222","35.02"
"ICICIBANK","EQ","06-May-2026","1,251.30","1,262.00","1,282.80","1,252.10","1,279.60","1,279.50","1,268.87","2,29,09,586","29,06,93,05,516.60","2,88,318","1,43,57,538","62.67"
"ICICIBANK","EQ","05-May-2026","1,270.80","1,264.00","1,266.70","1,245.50","1,250.90","1,251.30","1,252.12","2,44,47,935","30,61,18,50,377.00","2,57,742","1,24,74,285","51.02"
"ICICIBANK","EQ","04-May-2026","1,263.40","1,264.30","1,282.20","1,264.30","1,269.00","1,270.80","1,273.13","1,45,97,051","18,58,38,84,989.90","1,78,442","95,84,278","65.66"
"ICICIBANK","EQ","30-Apr-2026","1,281.00","1,261.00","1,272.20","1,259.00","1,265.70","1,263.40","1,264.67","1,77,40,110","22,43,54,14,841.10","2,61,998","82,02,254","46.24"
"ICICIBANK","EQ","29-Apr-2026","1,292.00","1,294.70","1,296.80","1,276.20","1,279.50","1,281.00","1,287.47","1,17,16,030","15,08,40,08,549.00","1,91,545","71,65,480","61.16"
"ICICIBANK","EQ","28-Apr-2026","1,314.10","1,314.30","1,317.70","1,286.70","1,289.10","1,292.00","1,300.34","1,67,74,778","21,81,28,94,339.10","1,97,497","80,21,364","47.82"
"ICICIBANK","EQ","27-Apr-2026","1,326.20","1,327.90","1,335.90","1,310.90","1,316.60","1,314.10","1,319.21","1,53,85,625","20,29,68,18,470.50","2,21,899","1,01,23,366","65.80"
"ICICIBANK","EQ","24-Apr-2026","1,348.00","1,336.30","1,348.80","1,324.00","1,325.80","1,326.20","1,332.36","1,40,56,743","18,72,86,38,323.00","1,92,491","1,10,27,327","78.45"
"ICICIBANK","EQ","23-Apr-2026","1,367.60","1,348.40","1,354.00","1,343.50","1,347.00","1,348.00","1,348.93","2,01,11,792","27,12,94,05,927.90","1,80,688","1,27,48,765","63.39"
"ICICIBANK","EQ","22-Apr-2026","1,388.40","1,380.00","1,380.10","1,365.00","1,367.80","1,367.60","1,370.33","1,36,13,487","18,65,49,24,562.10","2,10,901","88,76,042","65.20"
"ICICIBANK","EQ","21-Apr-2026","1,356.20","1,368.00","1,393.10","1,360.00","1,385.60","1,388.40","1,382.63","2,33,12,455","32,23,24,21,315.50","2,49,510","89,35,665","38.33"
"ICICIBANK","EQ","20-Apr-2026","1,346.80","1,364.70","1,376.40","1,353.00","1,354.30","1,356.20","1,362.59","2,15,51,520","29,36,59,07,872.80","3,20,334","1,05,67,077","49.03"
"ICICIBANK","EQ","17-Apr-2026","1,345.50","1,347.00","1,352.90","1,334.00","1,352.80","1,346.80","1,341.32","1,81,51,993","24,34,75,56,255.20","2,12,763","1,07,17,365","59.04"
