Snapshot_Date,Expiry_Date,Spot_Price,Strike,Option_Type,T_Years,Market_IV,Sigma_Used,Market_LTP,BS_Price,Price_Diff,Delta,Gamma,Theta,Vega,Rho,Market_OI,Market_Volume
2026-06-30,2026-07-31,1443.6,1040.0,Put,0.084932,89.59,0.8959,0.15,15.1577,15.0077,-0.079619,0.000393,-0.877348,0.623195,-0.110492,238.0,
2026-06-30,2026-07-31,1443.6,1060.0,Put,0.084932,186.26,1.8626,0.1,114.5541,114.4541,-0.197498,0.000355,-3.440478,1.168916,-0.339439,212.0,14.0
2026-06-30,2026-07-31,1443.6,1080.0,Put,0.084932,163.44,1.6344,0.05,95.2195,95.1695,-0.19518,0.000401,-2.992307,1.160581,-0.320176,431.0,88.0
2026-06-30,2026-07-31,1443.6,1100.0,Put,0.084932,162.76,1.6276,0.1,101.5292,101.4292,-0.205571,0.000416,-3.072226,1.197319,-0.338275,792.0,134.0
2026-06-30,2026-07-31,1443.6,1110.0,Put,0.084932,163.72,1.6372,0.15,106.3541,106.2041,-0.211599,0.00042,-3.142683,1.217892,-0.349763,415.0,16.0
2026-06-30,2026-07-31,1443.6,1120.0,Put,0.084932,157.77,1.5777,0.15,102.7779,102.6279,-0.213622,0.000439,-3.043192,1.224679,-0.349206,376.0,6.0
2026-06-30,2026-07-31,1443.6,1130.0,Put,0.084932,145.54,1.4554,0.1,91.4369,91.3369,-0.211122,0.000472,-2.784569,1.216283,-0.336509,345.0,57.0
2026-06-30,2026-07-31,1443.6,1140.0,Put,0.084932,145.98,1.4598,0.15,95.5259,95.3759,-0.217493,0.000479,-2.840795,1.237503,-0.347794,374.0,69.0
2026-06-30,2026-07-31,1443.6,1150.0,Call,0.084932,48.36,0.4836,158.0,303.6389,145.6389,0.957554,0.000444,-0.488814,0.380409,0.916145,224.0,
2026-06-30,2026-07-31,1443.6,1150.0,Put,0.084932,134.23,1.3423,0.1,84.5503,84.4503,-0.214484,0.000517,-2.58746,1.227555,-0.334783,415.0,8.0
2026-06-30,2026-07-31,1443.6,1160.0,Put,0.084932,128.63,1.2863,0.1,81.069,80.969,-0.216045,0.000541,-2.48754,1.23273,-0.333739,334.0,49.0
2026-06-30,2026-07-31,1443.6,1170.0,Call,0.084932,36.3,0.363,134.0,281.0893,147.0893,0.981756,0.000293,-0.312631,0.188389,0.964969,181.0,
2026-06-30,2026-07-31,1443.6,1170.0,Put,0.084932,123.05,1.2305,0.1,77.5438,77.4438,-0.217495,0.000568,-2.386335,1.23751,-0.332524,176.0,14.0
2026-06-30,2026-07-31,1443.6,1180.0,Put,0.084932,109.67,1.0967,0.05,64.3815,64.3315,-0.209567,0.000624,-2.076792,1.211017,-0.311624,253.0,19.0
2026-06-30,2026-07-31,1443.6,1190.0,Call,0.084932,52.5,0.525,159.8,269.2623,109.4623,0.91547,0.000702,-0.739444,0.65194,0.893744,256.0,
2026-06-30,2026-07-31,1443.6,1190.0,Put,0.084932,111.99,1.1199,0.1,70.4175,70.3175,-0.220051,0.000629,-2.181266,1.245856,-0.329605,283.0,53.0
2026-06-30,2026-07-31,1443.6,1200.0,Put,0.084932,106.49,1.0649,0.1,66.7947,66.6947,-0.221099,0.000663,-2.076955,1.249251,-0.327812,726.0,176.0
2026-06-30,2026-07-31,1443.6,1210.0,Call,0.084932,117.32,1.1732,156.3,324.3296,168.0296,0.759091,0.000631,-2.617319,1.310566,0.655241,142.0,
2026-06-30,2026-07-31,1443.6,1210.0,Put,0.084932,101.02,1.0102,0.1,63.1467,63.0467,-0.221975,0.0007,-1.971773,1.252081,-0.325789,247.0,19.0
