Snapshot_Date,Expiry_Date,Spot_Price,Strike,Option_Type,T_Years,Market_IV,Sigma_Used,Market_LTP,BS_Price,Price_Diff,Delta,Gamma,Theta,Vega,Rho,Market_OI,Market_Volume
2026-06-30,2026-07-31,2094.0,1760.0,Call,0.084932,68.71,0.6871,305.25,382.4016,77.1516,0.840242,0.00058,-1.889119,1.483351,1.169562,1.0,
2026-06-30,2026-07-31,2094.0,1760.0,Put,0.084932,119.87,1.1987,0.1,128.5689,128.4689,-0.245765,0.00043,-3.600736,1.921642,-0.54628,53.0,102.0
2026-06-30,2026-07-31,2094.0,1800.0,Put,0.084932,105.71,1.0571,0.1,115.6227,115.5227,-0.253652,0.000496,-3.216648,1.95415,-0.549311,359.0,212.0
2026-06-30,2026-07-31,2094.0,1820.0,Put,0.084932,113.5,1.135,0.35,138.6288,138.2788,-0.27224,0.000479,-3.582884,2.026111,-0.60191,1.0,1.0
2026-06-30,2026-07-31,2094.0,1840.0,Put,0.084932,98.82,0.9882,0.2,116.5358,116.3358,-0.270212,0.000549,-3.095825,2.01857,-0.579538,295.0,105.0
2026-06-30,2026-07-31,2094.0,1860.0,Put,0.084932,99.56,0.9956,0.4,125.6232,125.2232,-0.283488,0.000557,-3.190402,2.066554,-0.610867,42.0,19.0
2026-06-30,2026-07-31,2094.0,1880.0,Put,0.084932,84.06,0.8406,0.2,101.2112,101.0112,-0.279246,0.000655,-2.659378,2.051572,-0.582589,1060.0,358.0
2026-06-30,2026-07-31,2094.0,1900.0,Call,0.084932,244.84,2.4484,228.9,662.9059,434.0059,0.69173,0.000236,-8.62115,2.147679,0.667202,5.0,
2026-06-30,2026-07-31,2094.0,1900.0,Put,0.084932,86.42,0.8642,0.5,113.6432,113.1432,-0.296715,0.000656,-2.811859,2.111202,-0.624216,844.0,647.0
2026-06-30,2026-07-31,2094.0,1920.0,Call,0.084932,62.07,0.6207,174.6,254.8468,80.2468,0.725927,0.000879,-2.260471,2.032859,1.074591,68.0,13.0
2026-06-30,2026-07-31,2094.0,1920.0,Put,0.084932,78.34,0.7834,0.5,104.2204,103.7204,-0.302121,0.00073,-2.558315,2.128559,-0.625828,549.0,570.0
2026-06-30,2026-07-31,2094.0,1940.0,Put,0.084932,73.13,0.7313,0.65,100.7747,100.1247,-0.311753,0.000792,-2.411451,2.158217,-0.640031,168.0,836.0
2026-06-30,2026-07-31,2094.0,1960.0,Call,0.084932,148.81,1.4881,153.35,424.0856,270.7356,0.648791,0.000408,-5.598478,2.263208,0.79367,43.0,
2026-06-30,2026-07-31,2094.0,1960.0,Put,0.084932,63.93,0.6393,0.6,88.5722,87.9722,-0.316418,0.000912,-2.10585,2.172004,-0.637964,567.0,3356.0
2026-06-30,2026-07-31,2094.0,1980.0,Call,0.084932,136.57,1.3657,133.95,386.6727,252.7227,0.638152,0.00045,-5.20697,2.287086,0.806524,18.0,
2026-06-30,2026-07-31,2094.0,1980.0,Put,0.084932,56.33,0.5633,0.65,79.6436,78.9936,-0.32394,0.001046,-1.857875,2.193451,-0.643759,1099.0,5787.0
2026-06-30,2026-07-31,2094.0,2000.0,Put,0.084932,50.72,0.5072,0.9,74.9681,74.0681,-0.336521,0.001179,-1.683135,2.227178,-0.662162,3578.0,11833.0
2026-06-30,2026-07-31,2094.0,2020.0,Call,0.084932,72.03,0.7203,81.5,217.3702,135.8702,0.618922,0.000867,-2.893885,2.325578,0.916116,458.0,242.0
2026-06-30,2026-07-31,2094.0,2020.0,Put,0.084932,43.84,0.4384,1.15,67.3862,66.2362,-0.348751,0.001383,-1.454168,2.257427,-0.677474,732.0,7145.0
2026-06-30,2026-07-31,2094.0,2040.0,Put,0.084932,36.76,0.3676,1.55,59.2536,57.7036,-0.363555,0.001673,-1.212067,2.290745,-0.696896,3176.0,13237.0
