CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"1,040.00","9,800",0.05,0.15,700,-,0.15,89.59,-,-,238,
,3,-,-,-,314.40,-,-,-,-,-,"1,060.00","50,400",0.05,0.15,"7,700",-0.10,0.10,186.26,14,-4,212,
,-,-,-,-,-,-,-,-,-,-,"1,080.00","76,300",0.05,0.15,"2,800",-0.15,0.05,163.44,88,9,431,
,113,-,-,-,236.80,-,"1,400",278.10,292.70,"1,400","1,100.00","1,45,600",0.05,0.15,"16,800",-0.10,0.10,162.76,134,-53,792,
,-,-,-,-,-,-,"2,100",267.50,285.65,700,"1,110.00","3,500",0.10,0.15,"6,300",-0.05,0.15,163.72,16,-,415,
,-,-,-,-,-,-,"2,100",257.55,275.65,700,"1,120.00","3,500",0.10,0.15,"5,600",-0.05,0.15,157.77,6,-1,376,
,3,-,-,-,206.05,-,"2,100",248.40,266.30,700,"1,130.00","1,00,100",0.05,0.15,"2,800",-0.10,0.10,145.54,57,-40,345,
,1,-,-,-,135.30,-,"2,100",238.45,256.30,700,"1,140.00","37,100",0.05,0.15,"26,600",-0.05,0.15,145.98,69,-,374,
,224,-,-,48.36,158.00,-,"12,600",228.15,242.00,"12,600","1,150.00","52,500",0.05,0.15,"18,900",-0.10,0.10,134.23,8,-2,415,
,1,-,-,-,116.95,-,"2,100",217.55,235.70,700,"1,160.00","1,400",0.10,0.15,"18,200",-0.10,0.10,128.63,49,-6,334,
,181,-,-,36.30,134.00,-,"11,200",208.05,220.95,"2,100","1,170.00","20,300",0.05,0.15,"14,700",-0.10,0.10,123.05,14,-1,176,
,69,-,-,-,123.00,-,"5,600",197.75,212.30,"3,500","1,180.00","50,400",0.05,0.20,"6,300",-0.10,0.05,109.67,19,-3,253,
,256,-,-,52.50,159.80,-,"5,600",187.85,202.05,"4,900","1,190.00","90,300",0.05,0.20,"11,200",-0.10,0.10,111.99,53,-21,283,
,396,-18,24,-,187.00,2.00,700,184.70,189.15,700,"1,200.00","9,100",0.05,0.10,"2,800",-0.10,0.10,106.49,176,-95,726,
,142,-,-,117.32,156.30,-,"2,100",168.20,181.50,"2,100","1,210.00",-,-,0.15,"9,100",-0.10,0.10,101.02,19,-6,247,
,341,-1,1,-,166.70,-5.15,700,165.50,169.00,700,"1,220.00",-,-,0.10,"2,800",-0.10,0.05,88.99,26,-22,430,
,353,-52,52,-,158.00,12.30,700,155.60,158.95,700,"1,230.00","95,200",0.05,0.15,"11,900",-0.10,0.10,90.13,98,-42,528,
,905,-13,19,-,147.30,-0.80,700,146.65,148.85,700,"1,240.00","3,500",0.10,0.15,"17,500",-0.15,0.10,84.71,108,-52,"1,366",
,"1,816",-21,73,62.43,138.35,-1.65,"2,100",134.35,138.65,700,"1,250.00",-,-,0.10,"39,900",-0.10,0.05,73.68,129,-45,925,
,"1,245",-178,417,95.47,129.00,0.45,700,124.95,129.30,700,"1,260.00","44,100",0.10,0.15,"21,000",-0.10,0.10,73.91,183,-55,"1,193",
,980,-34,119,-,114.20,-6.90,700,115.70,119.15,700,"1,270.00","7,700",0.10,0.15,"3,500",-0.10,0.15,71.93,450,-93,"1,167",
,"5,459",-66,432,75.96,108.75,-1.35,"2,100",104.95,108.35,700,"1,280.00","4,200",0.05,0.10,"49,000",-0.10,0.05,58.48,346,-188,"2,616",
,675,-114,141,-,95.80,-4.95,700,95.00,98.90,700,"1,290.00","7,700",0.05,0.10,"1,400",-0.05,0.10,57.75,204,-80,"1,031",
,"2,681",-333,"1,024",-,87.50,-1.15,"7,000",85.50,88.45,700,"1,300.00","77,700",0.05,0.10,"2,100",-0.05,0.10,52.35,"1,231",-345,"3,986",
,951,-137,177,-,77.05,-1.65,700,75.85,78.55,"1,400","1,310.00","3,500",0.10,0.20,"46,200",-0.10,0.20,51.45,224,-76,734,
,"4,311",-110,406,-,67.75,0.30,"2,100",65.10,68.55,700,"1,320.00","3,500",0.05,0.10,"51,800",-0.25,0.10,41.50,"1,374",-292,"1,877",
,"1,423",-49,88,-,57.60,-1.65,"1,400",55.95,58.75,700,"1,330.00","68,600",0.10,0.20,"4,200",-0.40,0.15,38.07,853,-291,"1,212",
,"1,867",-460,"1,166",-,47.10,-2.45,700,47.25,48.60,700,"1,340.00","40,600",0.20,0.25,"4,200",-0.55,0.20,33.74,"3,465",-555,"2,001",
,"1,702",-242,704,-,37.00,-2.90,700,37.35,38.45,700,"1,350.00","9,800",0.20,0.25,"25,200",-0.75,0.25,28.74,"5,858",-787,"2,340",
,"1,031",-708,"2,175",-,26.50,-3.50,700,27.00,29.20,700,"1,360.00","15,400",0.35,0.40,"51,100",-1.30,0.40,24.51,"12,298","-1,336","1,941",
,"1,266",-580,"3,938",10.83,18.40,-2.50,700,17.60,18.45,700,"1,370.00","2,800",1.00,1.15,"1,400",-1.75,1.00,22.19,"13,207",58,"2,009",
,"1,101",-388,"5,376",14.28,9.60,-3.20,"1,400",9.10,10.20,700,"1,380.00","2,800",2.70,2.75,700,-2.40,2.70,20.69,"18,555",-177,"2,114",
,"3,638",-310,"19,639",14.17,3.35,-3.40,700,3.30,3.70,"5,600","1,390.00",700,6.15,6.65,700,-2.00,6.65,20.02,"10,542",112,"2,787",
,"4,444",727,"39,791",17.19,1.20,-2.15,"1,400",1.15,1.30,"4,200","1,400.00",700,13.50,14.55,700,-1.00,14.05,23.02,"6,524",736,"2,894",
,"1,745",368,"10,808",21.39,0.60,-1.25,"8,400",0.50,0.65,"7,700","1,410.00","1,400",22.50,25.40,700,-1.25,22.85,26.12,"1,358",174,461,
,832,-224,"5,519",23.89,0.25,-0.80,"42,700",0.20,0.25,"4,900","1,420.00",700,31.75,35.05,700,-0.35,33.70,39.84,225,-16,131,
,247,-12,"1,198",28.78,0.20,-0.55,"2,100",0.20,0.25,"4,200","1,430.00","1,400",38.25,45.10,700,5.20,44.90,55.44,28,2,15,
,513,-97,"1,147",34.38,0.20,-0.35,"73,500",0.15,0.20,"9,800","1,440.00","1,400",51.40,55.00,700,3.40,53.80,56.57,27,1,105,
