CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,525,397.05,420.90,525,"1,680.00",-,-,0.45,875,-,-,-,-,-,-,
,-,-,-,-,-,-,525,357.35,385.40,525,"1,720.00",875,0.05,0.40,875,-,-,140.30,-,-,-,
,1,-,-,68.71,305.25,-,350,317.55,337.45,525,"1,760.00","3,850",0.05,0.15,175,-0.25,0.10,119.87,102,16,53,
,-,-,-,-,-,-,700,297.40,317.95,525,"1,780.00",875,0.05,0.35,875,-,-,-,-,-,-,
,4,-,-,-,324.70,-,700,277.45,297.65,525,"1,800.00","31,325",0.10,0.15,525,-0.30,0.10,105.71,212,-45,359,
,-,-,-,-,-,-,700,257.45,277.65,525,"1,820.00","14,000",0.05,0.50,"2,800",0.10,0.35,113.50,1,-1,1,
,-,-,-,-,-,-,875,237.30,258.90,525,"1,840.00","5,250",0.10,0.30,"1,225",-0.10,0.20,98.82,105,-16,295,
,-,-,-,-,-,-,875,217.35,237.80,525,"1,860.00",175,0.25,0.35,875,0.10,0.40,99.56,19,13,42,
,548,-46,58,-,212.00,-16.00,525,206.80,214.10,175,"1,880.00","1,400",0.15,0.20,"2,100",-0.50,0.20,84.06,358,-225,"1,060",
,5,-,-,244.84,228.90,-,875,177.85,198.00,525,"1,900.00",525,0.40,0.50,700,-0.40,0.50,86.42,647,-234,844,
,68,-6,13,62.07,174.60,-2.15,175,167.85,173.90,175,"1,920.00","1,225",0.40,0.60,875,-0.65,0.50,78.34,570,-111,549,
,-,-,-,-,-,-,875,138.15,157.85,525,"1,940.00","1,050",0.45,0.70,700,-0.80,0.65,73.13,836,-253,168,
,43,-,-,148.81,153.35,-,"1,225",122.70,135.95,"1,225","1,960.00",525,0.55,0.70,875,-1.10,0.60,63.93,"3,356",-529,567,
