CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,-,-,-,-,-,"4,900",356.35,374.55,700,"1,040.00","14,000",0.05,3.60,"21,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,900",336.80,354.85,700,"1,060.00","7,000",0.10,2.25,700,-,-,38.92,-,-,4,
,-,-,-,-,-,-,"4,900",317.25,335.25,700,"1,080.00",700,0.25,2.15,"10,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,900",297.45,315.50,700,"1,100.00","2,100",0.50,0.70,"1,400",0.20,0.65,37.55,11,-,64,
,-,-,-,-,-,-,"4,900",287.80,305.85,700,"1,110.00","1,400",0.35,19.95,"10,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,900",277.90,296.05,700,"1,120.00","1,400",0.60,1.50,"4,200",-0.05,0.75,35.87,29,20,62,
,-,-,-,-,-,-,"4,900",268.20,286.15,700,"1,130.00","8,400",0.55,2.05,"8,400",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,900",258.35,276.40,700,"1,140.00","5,600",0.50,2.20,"13,300",-,-,29.08,-,-,1,
,-,-,-,-,-,-,"4,900",248.55,266.70,"4,900","1,150.00","1,400",1.00,1.05,"8,400",0.10,1.05,33.96,79,-4,56,
,-,-,-,-,-,-,"4,900",238.80,257.00,700,"1,160.00","2,800",0.75,2.45,"7,000",0.10,1.10,32.96,1,-,49,
,-,-,-,-,-,-,"4,900",229.25,247.15,700,"1,170.00","2,800",0.80,2.50,"10,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,900",219.45,237.30,"4,900","1,180.00",700,1.35,1.55,700,0.10,1.30,31.35,17,2,130,
,-,-,-,-,-,-,"4,900",209.15,227.70,700,"1,190.00","8,400",1.00,2.80,"10,500",-,-,27.93,-,-,43,
,86,-,-,-,-,-,"2,100",204.25,210.70,700,"1,200.00","3,500",1.70,1.80,700,0.05,1.75,30.09,104,26,359,
,-,-,-,-,-,-,"4,900",190.10,208.25,"5,600","1,210.00","7,000",1.35,3.15,"10,500",-,-,22.26,-,-,1,
,1,-,-,21.09,-,-,"4,900",180.80,197.15,700,"1,220.00","1,400",1.80,2.00,"1,400",-,1.90,28.27,45,2,123,
,2,-,-,17.62,-,-,"4,900",171.20,187.55,700,"1,230.00","8,400",1.70,3.70,"10,500",-,-,24.30,-,-,8,
,75,-,-,-,-,-,"2,100",165.55,173.15,700,"1,240.00","1,400",2.35,2.55,700,-0.10,2.55,27.26,13,-8,37,
,40,-13,21,-,150.00,17.00,"4,900",155.95,162.75,700,"1,250.00",700,2.80,2.90,700,-0.30,2.90,26.64,52,-10,140,
,49,1,1,-,136.50,13.00,700,146.45,154.10,"1,400","1,260.00","4,900",3.15,3.25,"1,400",-0.60,3.20,25.93,221,108,212,
,3,-,-,19.77,-,-,700,138.95,141.55,700,"1,270.00","3,500",3.75,3.85,"2,100",-0.85,3.80,25.38,96,24,98,
,22,1,1,-,118.00,14.00,700,129.50,132.40,700,"1,280.00","6,300",4.40,4.50,"6,300",-1.25,4.40,24.94,201,51,270,
,4,-,-,29.37,-,-,"1,400",120.30,122.85,700,"1,290.00","2,800",5.20,5.30,"4,200",-1.60,5.30,24.62,136,50,132,
,396,10,307,-,111.45,23.25,"2,800",112.30,113.05,700,"1,300.00","2,100",6.15,6.20,"2,100",-2.25,6.15,24.19,"1,031",178,"1,557",
,88,3,8,-,90.95,8.65,700,102.80,105.10,700,"1,310.00","3,500",7.20,7.35,"3,500",-2.75,7.25,23.77,100,66,112,
,141,1,6,17.23,95.00,21.75,700,94.25,96.30,700,"1,320.00","2,800",8.55,8.70,"5,600",-3.55,8.60,23.52,303,50,323,
,75,1,69,17.33,86.30,22.00,700,86.30,87.40,"1,400","1,330.00","1,400",10.10,10.25,"3,500",-4.40,10.10,23.21,139,-11,348,
,157,-9,53,16.25,78.40,20.40,"1,400",78.35,79.25,700,"1,340.00","2,800",11.95,12.10,"2,100",-5.35,12.05,22.95,198,47,390,
,750,67,680,17.86,70.45,19.20,700,70.75,71.30,"1,400","1,350.00","5,600",14.10,14.25,"4,200",-6.20,14.25,22.70,"1,167",281,"1,201",
,550,-84,358,17.76,63.80,18.85,"1,400",63.30,64.00,"1,400","1,360.00","6,300",16.60,16.80,"11,900",-7.45,16.65,22.67,781,419,969,
,339,38,316,17.72,56.60,17.45,"3,500",56.25,56.65,"2,800","1,370.00",700,19.45,19.65,"4,200",-8.60,19.50,22.29,244,50,581,
,694,1,844,18.14,49.40,15.65,"1,400",49.55,50.15,700,"1,380.00","4,200",22.65,22.85,"2,800",-9.95,22.70,22.21,973,299,740,
,424,244,"1,485",18.58,43.55,14.80,700,43.55,43.80,"4,900","1,390.00","2,800",26.30,26.55,"2,800",-11.45,26.45,21.95,958,304,389,
,"2,350",278,"3,827",18.12,37.95,13.35,"4,200",37.75,37.95,700,"1,400.00","1,400",30.50,30.75,"4,200",-12.65,30.50,22.05,"2,171","1,044","2,389",
