CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,575",402.80,430.45,675,"1,680.00",450,1.70,6.30,900,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,575",364.15,391.75,675,"1,720.00","1,125",2.90,6.40,"3,375",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,575",326.20,353.30,225,"1,760.00",450,5.10,5.20,450,-1.55,5.15,39.97,197,-17,630,
,-,-,-,-,-,-,225,311.85,333.20,225,"1,780.00",225,6.10,6.30,450,-3.45,5.55,38.92,88,12,15,
,309,-,12,-,303.00,10.80,225,300.10,306.05,225,"1,800.00",900,7.20,7.35,450,-2.45,7.00,38.99,"1,047",-211,"1,337",
,-,-,-,-,-,-,225,281.45,291.15,225,"1,820.00","1,800",8.35,8.50,450,-2.75,8.40,38.44,345,59,194,
,5,-,-,-,-,-,225,262.55,271.55,225,"1,840.00","1,125",9.85,10.05,"1,575",-3.30,9.90,38.01,231,-41,500,
,34,34,42,-,253.60,-184.75,225,244.60,252.85,225,"1,860.00",450,11.70,11.90,450,-4.55,11.15,37.32,159,38,228,
,8,-,-,-,-,-,225,227.00,235.30,225,"1,880.00",675,13.95,14.10,900,-3.85,14.00,37.21,347,12,453,
,62,1,10,-,215.40,11.70,225,211.45,215.60,225,"1,900.00",900,16.65,16.85,"1,575",-4.70,16.65,36.97,"1,383",-150,"1,725",
,7,-,-,-,-,-,225,193.80,200.75,225,"1,920.00",450,19.75,19.95,225,-5.35,19.75,37.08,198,-22,366,
,1,-,-,-,-,-,225,177.95,184.15,225,"1,940.00",450,23.45,23.70,450,-5.70,23.50,36.99,237,-16,309,
,606,-,-,-,-,-,225,161.70,168.55,225,"1,960.00",450,27.75,27.95,225,-6.30,27.85,36.94,206,-28,668,
,87,-1,2,-,158.00,10.05,225,148.30,152.50,225,"1,980.00",675,32.60,33.05,225,-8.30,31.50,36.57,223,71,377,
