Date,Adj Close,Close,High,Low,Open,Volume
2026-03-27,22819.599609375,22819.599609375,23186.099609375,22804.55078125,23173.55078125,612600
2026-03-30,22331.400390625,22331.400390625,22714.099609375,22283.849609375,22549.650390625,698600
2026-04-01,22679.400390625,22679.400390625,22941.30078125,22618.599609375,22899.0,518000
2026-04-02,22713.099609375,22713.099609375,22782.30078125,22182.55078125,22383.400390625,495100
2026-04-06,22968.25,22968.25,22998.349609375,22542.94921875,22780.30078125,426400
2026-04-07,23123.650390625,23123.650390625,23153.849609375,22719.30078125,22838.69921875,477000
2026-04-08,23997.349609375,23997.349609375,24025.150390625,23828.5,23855.150390625,639300
2026-04-09,23775.099609375,23775.099609375,23990.75,23682.80078125,23909.05078125,466600
2026-04-10,24050.599609375,24050.599609375,24074.05078125,23856.349609375,23880.55078125,481300
2026-04-13,23842.650390625,23842.650390625,23907.400390625,23555.599609375,23589.599609375,488800
2026-04-15,24231.30078125,24231.30078125,24280.900390625,24145.80078125,24163.80078125,460300
2026-04-16,24196.75,24196.75,24400.94921875,24102.80078125,24385.19921875,508000
2026-04-17,24353.55078125,24353.55078125,24371.900390625,24096.05078125,24165.900390625,498600
2026-04-20,24364.849609375,24364.849609375,24480.650390625,24241.25,24391.5,415900
2026-04-21,24576.599609375,24576.599609375,24601.69921875,24354.900390625,24374.55078125,425800
2026-04-22,24378.099609375,24378.099609375,24515.94921875,24352.900390625,24470.849609375,440500
2026-04-23,24173.05078125,24173.05078125,24310.19921875,24134.80078125,24202.349609375,467500
2026-04-24,23897.94921875,23897.94921875,24206.0,23813.650390625,24100.55078125,438400
2026-04-27,24092.69921875,24092.69921875,24130.69921875,23936.19921875,23945.44921875,430300
2026-04-28,23995.69921875,23995.69921875,24181.80078125,23957.05078125,24049.900390625,554100
2026-04-29,24177.650390625,24177.650390625,24334.69921875,24059.94921875,24096.900390625,531100
2026-04-30,23997.55078125,23997.55078125,24087.44921875,23796.849609375,23996.94921875,505500
2026-05-04,24119.30078125,24119.30078125,24290.19921875,24004.75,24063.55078125,419100
2026-05-05,24032.80078125,24032.80078125,24081.69921875,23882.05078125,24052.599609375,363300
2026-05-06,24330.94921875,24330.94921875,24356.5,23997.900390625,24171.0,429200
2026-05-07,24326.650390625,24326.650390625,24482.099609375,24284.0,24398.5,440600
2026-05-08,24176.150390625,24176.150390625,24253.80078125,24126.650390625,24233.650390625,335900
2026-05-11,23815.849609375,23815.849609375,23997.44921875,23799.099609375,23970.099609375,390100
2026-05-12,23379.55078125,23379.55078125,23757.55078125,23348.400390625,23722.599609375,447500
2026-05-13,23412.599609375,23412.599609375,23582.94921875,23262.55078125,23362.44921875,415400
2026-05-14,23689.599609375,23689.599609375,23777.19921875,23426.55078125,23530.25,428700
2026-05-15,23643.5,23643.5,23839.30078125,23610.30078125,23731.400390625,408900
2026-05-18,23649.94921875,23649.94921875,23695.650390625,23317.099609375,23482.19921875,392000
2026-05-19,23618.0,23618.0,23782.30078125,23587.19921875,23675.30078125,442000
2026-05-20,23659.0,23659.0,23690.900390625,23397.30078125,23457.25,344100
2026-05-21,23654.69921875,23654.69921875,23859.900390625,23596.599609375,23830.05078125,348200
2026-05-22,23719.30078125,23719.30078125,23835.650390625,23671.0,23671.19921875,336100
2026-05-25,24031.69921875,24031.69921875,24054.44921875,23922.849609375,23940.25,351200
2026-05-26,23913.69921875,23913.69921875,24089.80078125,23885.44921875,24004.099609375,387900
2026-05-27,23907.150390625,23907.150390625,23983.19921875,23858.25,23880.349609375,531600
2026-05-29,23547.75,23547.75,24002.80078125,23484.75,23902.150390625,1198000
2026-06-01,23382.599609375,23382.599609375,23733.69921875,23357.94921875,23654.5,421700
2026-06-02,23483.55078125,23483.55078125,23556.94921875,23229.150390625,23229.150390625,511900
2026-06-03,23405.599609375,23405.599609375,23459.650390625,23151.5,23415.94921875,450100
2026-06-04,23416.55078125,23416.55078125,23465.30078125,23247.30078125,23282.44921875,412500
2026-06-05,23366.69921875,23366.69921875,23516.349609375,23282.650390625,23478.94921875,366200
2026-06-08,23123.0,23123.0,23267.30078125,23070.150390625,23080.69921875,375700
2026-06-09,23242.099609375,23242.099609375,23279.400390625,23104.44921875,23259.05078125,402600
2026-06-10,23214.94921875,23214.94921875,23425.349609375,23184.599609375,23233.94921875,380000
2026-06-11,23161.599609375,23161.599609375,23327.44921875,23072.05078125,23104.400390625,363000
2026-06-12,23622.900390625,23622.900390625,23645.349609375,23313.900390625,23412.55078125,351900
2026-06-15,23853.900390625,23853.900390625,24011.400390625,23817.80078125,23984.849609375,398900
2026-06-16,23989.150390625,23989.150390625,24002.599609375,23888.19921875,23923.900390625,327300
2026-06-17,24085.69921875,24085.69921875,24108.19921875,23969.69921875,24044.5,352700
2026-06-18,24168.0,24168.0,24189.25,24036.94921875,24073.80078125,340000
2026-06-19,24013.099609375,24013.099609375,24047.19921875,23901.900390625,23991.19921875,447900
2026-06-22,24102.900390625,24102.900390625,24168.05078125,24073.150390625,24106.599609375,252800
2026-06-23,23824.099609375,23824.099609375,24135.5,23784.94921875,24071.30078125,340100
2026-06-24,24021.650390625,24021.650390625,24090.05078125,23789.25,23795.80078125,395600
2026-06-25,24056.0,24056.0,24261.599609375,24039.0,24125.849609375,448800
