Date,AssetPrice,MarketPrice,EWMA_Mean,EWMA_Stddev,EWMA_Zscore,Rolling_Mean,Rolling_Stddev,Rolling_Zscore,RollingCorrelation,RollingBeta
2026-03-30,2346.2,22283.8,2381.3,11.974,-2.93176,2365.6,27.4358,-0.707107,0,0
2026-04-01,2397.9,22618.6,2382.89,12.488,1.20233,2376.37,26.9095,0.80021,0,0
2026-04-02,2375.7,22182.6,2382.2,12.0836,-0.537999,2376.2,21.9741,-0.0227541,0,0
2026-04-06,2448.2,22542.9,2388.49,23.387,2.55327,2390.6,37.4025,1.54001,0,0
2026-04-07,2448,22719.3,2394.15,28.8475,1.86655,2400.17,40.8446,1.17111,0,0
2026-04-08,2540.1,23828.5,2408.05,52.74,2.50372,2420.16,64.7115,1.8535,0,0
2026-04-09,2531.1,23682.8,2419.77,62.9169,1.76943,2434.02,71.6093,1.35562,0,0
2026-04-10,2501.1,23856.3,2427.52,64.8957,1.13385,2441.48,70.6173,0.844302,0,0
2026-04-13,2470,23555.6,2431.56,63.105,0.609079,2444.33,67.1868,0.382069,0,0
2026-04-15,2493.4,24145.8,2437.45,62.9852,0.888251,2448.79,65.4336,0.681745,0,0
2026-04-16,2558,24102.8,2448.93,70.5214,1.54657,2457.89,69.9014,1.43214,0,0
2026-04-17,2555.9,24096.1,2459.12,74.7617,1.2945,2465.43,72.2352,1.25243,0,0
2026-04-20,2561.2,24241.2,2468.84,77.7778,1.18745,2472.27,73.9707,1.20221,0,0
2026-04-21,2560,24354.9,2477.52,79.1495,1.04202,2478.12,74.7925,1.09476,0,0
2026-04-22,2503.6,24352.9,2480.01,75.7151,0.311592,2479.71,72.5367,0.329318,0,0
2026-04-23,2516.3,24134.8,2483.46,72.8851,0.450514,2481.86,70.7917,0.486432,0,0
2026-04-24,2388.8,23813.7,2474.45,75.2314,-1.13847,2476.69,72.096,-1.21913,0,0
2026-04-27,2396.9,23936.2,2467.06,75.4552,-0.929866,2472.49,72.4167,-1.04389,0,0
2026-04-28,2427.4,23957.1,2463.29,72.8085,-0.492879,2470.24,71.2029,-0.601662,0,0
2026-04-29,2447.6,24059.9,2461.79,69.4236,-0.204421,2473.37,68.5865,-0.375729,0.672938,0.844873
2026-04-30,2438,23796.8,2459.53,66.442,-0.32398,2477.96,62.4228,-0.640151,0.653958,0.848868
2026-05-04,2425,24004.8,2456.24,64.0908,-0.487398,2479.32,60.8682,-0.892338,0.628563,0.804497
2026-05-05,2412.2,23882.1,2452.04,62.459,-0.637917,2481.14,58.0814,-1.18696,0.633169,0.853204
2026-05-06,2406.5,23997.9,2447.71,61.0503,-0.674954,2479.06,60.0415,-1.20841,0.611036,0.784076
2026-05-07,2398,24284,2442.97,60.0623,-0.74876,2476.56,62.3974,-1.25895,0.600633,0.765467
2026-05-08,2375.1,24126.7,2436.51,60.8493,-1.00918,2468.31,64.4283,-1.44665,0.397943,0.655357
