underlying_symbol,spot_price,strike_price,expiry_date_str,option_type,ltp,bid,ask,volume,open_interest,iv,delta,gamma,theta,vega,collected_at,expiry_date,evaluation_date,time_to_maturity,risk_free_rate,dividend_yield,mid_price
ICICIBANK,1387,1040.0,30-06-2026,CALL,0.0,339.6,357.15,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,348.375
ICICIBANK,1387,1040.0,30-06-2026,PUT,0.15,0.05,0.3,0,238,0.8959,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.175
ICICIBANK,1387,1060.0,30-06-2026,CALL,314.4,319.5,337.3,0,3,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,328.4
ICICIBANK,1387,1060.0,30-06-2026,PUT,0.2,0.1,0.25,0,216,0.8665,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.175
ICICIBANK,1387,1080.0,30-06-2026,CALL,0.0,299.55,313.95,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,306.75
ICICIBANK,1387,1080.0,30-06-2026,PUT,0.2,0.15,0.3,13,422,0.8398,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.22499999999999998
ICICIBANK,1387,1100.0,30-06-2026,CALL,236.8,279.8,294.25,0,113,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,287.025
ICICIBANK,1387,1100.0,30-06-2026,PUT,0.2,0.15,0.2,203,845,0.7843000000000001,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.175
ICICIBANK,1387,1110.0,30-06-2026,CALL,0.0,269.45,283.95,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,276.7
ICICIBANK,1387,1110.0,30-06-2026,PUT,0.2,0.15,0.25,92,415,0.7568,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.2
ICICIBANK,1387,1120.0,30-06-2026,CALL,0.0,259.45,274.4,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,266.92499999999995
ICICIBANK,1387,1120.0,30-06-2026,PUT,0.2,0.15,0.2,114,377,0.7295,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.175
ICICIBANK,1387,1130.0,30-06-2026,CALL,206.05,249.55,264.5,0,3,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,257.025
ICICIBANK,1387,1130.0,30-06-2026,PUT,0.2,0.1,0.3,95,385,0.7023999999999999,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.2
ICICIBANK,1387,1140.0,30-06-2026,CALL,135.3,239.55,254.0,0,1,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,246.775
ICICIBANK,1387,1140.0,30-06-2026,PUT,0.2,0.15,0.25,41,374,0.6754000000000001,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.2
ICICIBANK,1387,1150.0,30-06-2026,CALL,158.0,229.8,244.3,0,224,0.4836,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,237.05
ICICIBANK,1387,1150.0,30-06-2026,PUT,0.2,0.15,0.3,74,417,0.6486,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.22499999999999998
ICICIBANK,1387,1160.0,30-06-2026,CALL,116.95,219.4,234.0,0,1,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,226.7
ICICIBANK,1387,1160.0,30-06-2026,PUT,0.2,0.15,0.2,779,340,0.6219,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.175
ICICIBANK,1387,1170.0,30-06-2026,CALL,134.0,209.85,224.4,0,181,0.363,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,217.125
ICICIBANK,1387,1170.0,30-06-2026,PUT,0.2,0.1,0.2,24,177,0.5953,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.15000000000000002
ICICIBANK,1387,1180.0,30-06-2026,CALL,123.0,201.8,214.4,0,69,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,208.10000000000002
ICICIBANK,1387,1180.0,30-06-2026,PUT,0.15,0.1,0.25,78,256,0.5503,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.175
ICICIBANK,1387,1190.0,30-06-2026,CALL,159.8,194.55,204.4,0,256,0.525,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,199.47500000000002
