underlying_symbol,spot_price,strike_price,expiry_date_str,option_type,ltp,bid,ask,volume,open_interest,iv,delta,gamma,theta,vega,collected_at,expiry_date,evaluation_date,time_to_maturity,risk_free_rate,dividend_yield,mid_price
TCS,2095.9,1680.0,30-06-2026,CALL,0.0,397.3,423.5,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,410.4
TCS,2095.9,1680.0,30-06-2026,PUT,0.0,0.0,1.1,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.55
TCS,2095.9,1720.0,30-06-2026,CALL,0.0,357.55,385.65,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,371.6
TCS,2095.9,1720.0,30-06-2026,PUT,0.15,0.0,0.8,1,0,0.6306,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.4
TCS,2095.9,1760.0,30-06-2026,CALL,305.25,317.4,338.75,0,1,0.6870999999999999,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,328.075
TCS,2095.9,1760.0,30-06-2026,PUT,0.35,0.1,0.4,2,37,0.62,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.25
TCS,2095.9,1780.0,30-06-2026,CALL,0.0,297.6,320.65,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,309.125
TCS,2095.9,1780.0,30-06-2026,PUT,0.0,0.1,0.85,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.475
TCS,2095.9,1800.0,30-06-2026,CALL,324.7,277.75,299.1,0,4,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,288.425
TCS,2095.9,1800.0,30-06-2026,PUT,0.35,0.3,0.5,394,404,0.5490999999999999,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.4
TCS,2095.9,1820.0,30-06-2026,CALL,0.0,257.65,279.25,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,268.45
TCS,2095.9,1820.0,30-06-2026,PUT,0.25,0.15,0.95,0,2,0.5097,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.5499999999999999
TCS,2095.9,1840.0,30-06-2026,CALL,0.0,237.9,259.2,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,248.55
TCS,2095.9,1840.0,30-06-2026,PUT,0.45,0.4,0.45,111,311,0.4946,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.42500000000000004
TCS,2095.9,1860.0,30-06-2026,CALL,0.0,218.0,239.25,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,228.625
TCS,2095.9,1860.0,30-06-2026,PUT,0.3,0.3,1.3,1,29,0.43560000000000004,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.8
TCS,2095.9,1880.0,30-06-2026,CALL,228.0,204.25,219.6,0,594,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,211.925
TCS,2095.9,1880.0,30-06-2026,PUT,0.6,0.55,0.6,874,1285,0.44049999999999995,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.575
TCS,2095.9,1900.0,30-06-2026,CALL,228.9,189.3,199.95,8,5,1.0718,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,194.625
TCS,2095.9,1900.0,30-06-2026,PUT,0.85,0.7,0.85,1194,1078,0.4257,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,0.7749999999999999
TCS,2095.9,1920.0,30-06-2026,CALL,176.75,171.55,179.4,3,74,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,175.47500000000002
