Spot,Strike,OptionType,MarketPrice,TimeToMaturity,RiskFreeRate,DividendYield,ImpliedVolatility
2095.9,1680,CALL,410.4,0.0109589,0.07,0.02,NA
2095.9,1680,PUT,0.55,0.0109589,0.07,0.02,89.9598
2095.9,1720,CALL,371.6,0.0109589,0.07,0.02,NA
2095.9,1720,PUT,0.4,0.0109589,0.07,0.02,78.293
2095.9,1760,CALL,328.075,0.0109589,0.07,0.02,NA
2095.9,1760,PUT,0.25,0.0109589,0.07,0.02,66.3812
2095.9,1780,CALL,309.125,0.0109589,0.07,0.02,NA
2095.9,1780,PUT,0.475,0.0109589,0.07,0.02,67.5706
2095.9,1800,CALL,288.425,0.0109589,0.07,0.02,NA
2095.9,1800,PUT,0.4,0.0109589,0.07,0.02,62.1181
2095.9,1820,CALL,268.45,0.0109589,0.07,0.02,NA
2095.9,1820,PUT,0.55,0.0109589,0.07,0.02,60.608
2095.9,1840,CALL,248.55,0.0109589,0.07,0.02,NA
2095.9,1840,PUT,0.425,0.0109589,0.07,0.02,54.5894
2095.9,1860,CALL,228.625,0.0109589,0.07,0.02,NA
2095.9,1860,PUT,0.8,0.0109589,0.07,0.02,55.3247
2095.9,1880,CALL,211.925,0.0109589,0.07,0.02,NA
2095.9,1880,PUT,0.575,0.0109589,0.07,0.02,48.6392
2095.9,1900,CALL,194.625,0.0109589,0.07,0.02,NA
2095.9,1900,PUT,0.775,0.0109589,0.07,0.02,46.5818
2095.9,1920,CALL,175.475,0.0109589,0.07,0.02,NA
2095.9,1920,PUT,1.05,0.0109589,0.07,0.02,44.5001
2095.9,1940,CALL,149.55,0.0109589,0.07,0.02,NA
2095.9,1940,PUT,1.45,0.0109589,0.07,0.02,42.4921
2095.9,1960,CALL,135.3,0.0109589,0.07,0.02,NA
2095.9,1960,PUT,1.75,0.0109589,0.07,0.02,39.3028
2095.9,1980,CALL,116,0.0109589,0.07,0.02,NA
2095.9,1980,PUT,1.85,0.0109589,0.07,0.02,34.9154
2095.9,2000,CALL,97.525,0.0109589,0.07,0.02,23.7264
